No Kuesioner,Nama Kuesioner,Dusun / Kampung,Kelurahan,Kecamatan,Kota,DAPIL,Provinsi,P1,P2,P3,P4,P5,P6,P7,P8,P9,Pilihan Presiden
1,Kuesioner 1,lambaro,lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,6,15,4,1,Aswaja,suku gayo,5,JOKOWI WIDODO dan MA'RUF AMIN,GOLKAR / SULAIMAN ABDA,1
2,Kuesioner 2,,,,,ACEH I,Aceh,,,,,,,,,,
3,Kuesioner 3,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,6,8,5,1,ASWAJA,Aceh,3,2,PAN,1
4,Kuesioner 4,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,4,3,5,1,9,Aceh,5,2,2,2
5,Kuesioner 5,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,6,10,5,1,8,Aceh,3,PRABOWO SUBIANTO DAN SANDIAGA UNO,PKS,2
6,Kuesioner 6,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,5,6,5,1,9,Aceh,4,2,2,2
7,Kuesioner 7,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,4,4,5,1,9,Aceh,2,Prabowo dan Sandiaga Uno,2,2
8,Kuesioner 8,Lambaro Kafe,Lambaro Kafe,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,4,3,5,1,9,Aceh,5,2,2,2
9,Kuesioner 9,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,4,4,5,1,9,Aceh,1,Nasdem,Nasdem,3
10,Kuesioner 10,Lambaro,Lambaro Kafe,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,4,15,5,1,8,Aceh,4,PRABOWO SUBIANTO DAN SANDIAGA UNO,GERINDRA,2
11,Kuesioner 11,metuah,lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,4,12,3,1,13,ALAS,1,PRABOWO & SANDI,2,2
12,Kuesioner 12,lawe hijo,lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,4,mahasiswi,8,1,13,ALAS,1,PRABOWO & SANDI,GOLKAR,2
13,Kuesioner 13,lawe hijo,lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,4,4,8,1,13,ALAS,1,PRABOWO & SANDI,GOLKAR,2
14,Kuesioner 14,Lawe hijo,Lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,4,12,3,1,14,ALAS,3,PRABOWO & SANDI,GOLKAR,2
15,Kuesioner 15,lawe hijo,lawe hijo ,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,4,12,3,1,13,ALAS,2,PRABOWO & SANDI,GOLKAR,2
16,Kuesioner 16,lawe hijo,LAWE HIJO METUAH,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,3,SISWI,1,1,13,ALAS,1,PRABOWO & SANDI,GOLKAR,2
17,Kuesioner 17,lawe hijo,lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,6,7,5,1,13,ALAS,4,2,2,2
18,Kuesioner 18,lawe hijo,lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,6,8,4,1,13,ALAS,2,PRABOWO & SANDI,GOLKAR,2
19,Kuesioner 19,lawe hijo,lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,6,8,5,1,13,ALAS,5,PRABOWO & SANDI,GOLKAR,2
20,Kuesioner 20,lawe hijo,lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,3,4,8,1,14,ALAS,1,PRABOWO & SANDI,GOLKAR,2
21,Kuesioner 21,Waq Toweren,Waq Toweren,Laut Tawar,Kab. Aceh Tengah,ACEH II,Aceh,4,12,4,1,9,GAYO,2,PRABOWO SUBIANTO DAN SANDIAGA UNO,GERINDRA,2
22,Kuesioner 22,Waq Toweren,Waq Toweren,Laut Tawar,Kab. Aceh Tengah,ACEH II,Aceh,6,7,5,1,9,Gayo,4,JOKO WIDODO DAN MA'RUF AMIN,"GERINDRA DAN IR. H. NASARUDDIN, MM",2
23,Kuesioner 23,Waq Toweren,Waq Toweren,Laut Tawar,Kab. Aceh Tengah,ACEH II,Aceh,4,15,3,1,9,Gayo,1,JOKOWI DODO DAN MA'RUF AMIN,PDI PERJUANGAN,1
24,Kuesioner 24,Waq Toweren,Waq Toweren,Laut Tawar,Kab. Aceh Tengah,ACEH II,Aceh,4,3,8,1,9,GAYO,4,PRABOWO SUBIANTO DAN SANDIAGA UNO,GERINDRA,2
25,Kuesioner 25,Waq Toweren,Waq Toweren,Laut Tawar,Kab. Aceh Tengah,ACEH II,Aceh,4,12,4,1,9,Gayo,4,PRABOWO SUBIANTO DAN SANDIAGA UNO,GERINDRA,2
26,Kuesioner 26,Waq Toweren,Waq Toweren,Laut Tawar,Kab. Aceh Tengah,ACEH II,Aceh,4,4,8,1,9,Gayo,1,PRABOWO SUBIANTO DAN SANDIAGA UNO,GERINDRA,2
27,Kuesioner 27,Waq Toweren,Waq Toweren,Laut Tawar,Kab. Aceh Tengah,ACEH II,Aceh,4,12,4,1,9,GAYO,2,PRABOWO SUBIANTO DAN SANDIAGA UNO,IR. H. NASARUDDIN,2
28,Kuesioner 28,Waq Toweren,Waq Toweren,Laut Tawar,Kab. Aceh Tengah,ACEH II,Aceh,5,13,5,1,9,Gayo,3,PRABOWO SUBIANTO DAN SANDIAGA UNO,GERINDRA,2
29,Kuesioner 29,Waq Toweren,Waq Toweren,Laut Tawar,Kab. Aceh Tengah,ACEH II,Aceh,4,12,5,1,9,Gayo,3,PRABOWO SUBIANTO DAN SANDIAGA UNO,GERINDRA,2
30,Kuesioner 30,Waq Toweren,Waq Toweren,Laut Tawar,Kab. Aceh Tengah,ACEH II,Aceh,4,12,4,1,9,GAYO,3,PRABOWO SUBIANTO DAN SANDIAGA UNO,GERINDRA,2
31,Kuesioner 31,cinta bahagia,benteng,Birem Bayeun,Kab. Aceh Timur,ACEH II,Aceh,4,1,4,1,13,jawa,3,prabowo,prabowo sugianto,2
32,Kuesioner 32,dusun cinta masa,benteng,Birem Bayeun,Kab. Aceh Timur,ACEH II,Aceh,6,guru ngaji,3,1,13,16,2,PRABOWO DAN SANDIAGA,gerindra,2
33,Kuesioner 33,dusun cinta bakti,benteng,Birem Bayeun,Kab. Aceh Timur,ACEH II,Aceh,6,4,4,1,13,Aceh ,3,PRABOWO SUGIANTO& SANDIAGA ,GOLKAR,2
34,Kuesioner 34,cinta kasih,benteng,Birem Bayeun,Kab. Aceh Timur,ACEH II,Aceh,4,4,2,1,9,10,1,PRABOWO DAN SANDIAGA,Golkar,2
35,Kuesioner 35,dusun cinta makmur,benteng,Birem Bayeun,Kab. Aceh Timur,ACEH II,Aceh,4,4,3,1,9,10,2,JOKOWI& MAKRUF AMIN,golkar,1
36,Kuesioner 36,dusun cinta masa,benteng,Birem Bayeun,Kab. Aceh Timur,ACEH II,Aceh,3,3,3,1,13,10,3,PRABOWO DAN SANDIAGA,2,2
37,Kuesioner 37,dusun cinta bahagia,benteng,Birem Bayeun,Kab. Aceh Timur,ACEH II,Aceh,4,1,3,1,13,10,3,PRABOWO DAN SANDIAGA,gerindra,2
38,Kuesioner 38,dusun cinta bahagia,benteng,Birem Bayeun,Kab. Aceh Timur,ACEH II,Aceh,4,4,2,1,13,5,1,PRABOWO SUGIANTO DAN SANDIAGA UNO,2,2
39,Kuesioner 39,dusun cinta masa,benteng,Birem Bayeun,Kab. Aceh Timur,ACEH II,Aceh,6,15,3,1,8,aceh,3,PRABOWO&SANDIAGA,gerindra,2
40,Kuesioner 40,dusun cinta bahagia,benteng,Birem Bayeun,Kab. Aceh Timur,ACEH II,Aceh,4,3,3,1,13,5,2,PRABOWO DAN SANDI,DEMOKRAT,2
41,Kuesioner 41,dusun balai agung ,kerobokan kecamatan sawan,Sawan,Kab. Buleleng,BALI,Bali,6,2,5,4,,2,5,PRABOWO DAN SANDIAGA UNO,DEMOKRAT,2
42,Kuesioner 42,Banjar kloncing,Kerobokan ,Sawan,Kab. Buleleng,BALI,Bali,3,1,4,4,,2,4,2,2,2
43,Kuesioner 43,Dusun banjar balai agung ,kerobokan ,Sawan,Kab. Buleleng,BALI,Bali,4,8,4,4,,2,4,2,2,1
44,Kuesioner 44, balai agung,kerobokan ,Sawan,Kab. Buleleng,BALI,Bali,4,3,4,4,,2,4,JOKO WIDODO DAN MA'ARUF AMIN,PDI PERJUANGAN ,1
45,Kuesioner 45,banjar dalem ,kerobokan ,Sawan,Kab. Buleleng,BALI,Bali,1,1,1,4,,2,6,JOKO WIDODO DAN MA'RUF AMIN,PDI P,1
46,Kuesioner 46,banjar dalem,kerobokan ,Sawan,Kab. Buleleng,BALI,Bali,3,8,3,4,,2,2,JOKO WIDODO DAN MA'RUF AMIN,2,1
47,Kuesioner 47,banjar dalem ,kerobokan ,Sawan,Kab. Buleleng,BALI,Bali,4,1,4,4,,2,3,JOKO WIDODO DAN MA'RUF AMIN,GOLKAR,1
48,Kuesioner 48,balai agung,kerobokan ,Sawan,Kab. Buleleng,BALI,Bali,2,12,2,4,,2,3,JOKO WIDODO DAN MA'RUF AMIN ,PDI PERJUANGAN,1
49,Kuesioner 49,dusun banjar balai agung,kerobokan ,Sawan,Kab. Buleleng,BALI,Bali,2,1,1,4,,2,5,JOKO WIDODO DAN MA'RUF AMIN,PDI PERJUANGAN ,1
50,Kuesioner 50,banjar dalem,kerobokan,Sawan,Kab. Buleleng,BALI,Bali,2,1,1,4,,2,4,JOKO WIDODO DAN MA'RUF AMIN ,PDI PERJUANGAN ,1
51,Kuesioner 51,lingkungan sangging,gianyar ,Gianyar,Kab. Gianyar,BALI,Bali,4,7,5,4,,2,5,jokowi dan makruf amin,2,1
52,Kuesioner 52,Banjar sangging,gianyar,Gianyar,Kab. Gianyar,BALI,Bali,4,3,5,4,,2,4,joko widodo dan makruf amin,2,1
53,Kuesioner 53,lingkungan teges kaja,gianyar,Gianyar,Kab. Gianyar,BALI,Bali,6,8,6,4,,2,5,jokowi widodo dan makruf amin,PSI,1
54,Kuesioner 54,tegas kaja,gianyar,Gianyar,Kab. Gianyar,BALI,Bali,4,8,4,4,,2,3,2,2,1
55,Kuesioner 55,lingkungan tegas kaja ,gianyar,Gianyar,Kab. Gianyar,BALI,Bali,6,baru lulus kuliah ,5,4,,2,2,jokowi dan makruf amin,PDI ,1
56,Kuesioner 56,tegas kaja ,gianyar ,Gianyar,Kab. Gianyar,BALI,Bali,1,3,8,4,,2,6,2,2,1
57,Kuesioner 57,candi baru,gianyar ,Gianyar,Kab. Gianyar,BALI,Bali,6,8,6,4,,2,4,prabowo subianto dan sandiaga salahudin uno,2,2
58,Kuesioner 58,candi baru ,gianyar ,Gianyar,Kab. Gianyar,BALI,Bali,5,15,3,4,,2,2,prabowo subianto dan sandiaga salahuddin uno,2,1
59,Kuesioner 59,candi baru,gianyar,Gianyar,Kab. Gianyar,BALI,Bali,3,10,6,4,,2,2,joko widodo dan makruf amin,PDI,1
60,Kuesioner 60,candi baru,gianyar,Gianyar,Kab. Gianyar,BALI,Bali,5,7,7,4,,2,3,2,2,1
61,Kuesioner 61,BANJAR PURING,SANGKETAN,Penebel,Kab. Tabanan,BALI,Bali,2,12,1,4,,2,3,2,2,1
62,Kuesioner 62,PURING,SANGKETAN,Penebel,Kab. Tabanan,BALI,Bali,4,3,8,4,,BALI DAN NTT,4,2,2,1
63,Kuesioner 63,ANYAR,SANGKETAN,Penebel,Kab. Tabanan,BALI,Bali,3,1,3,4,,2,2,JOKOWI & MA'ARUF AMIN,2,1
64,Kuesioner 64,ANYAR,SANGKETAN,Penebel,Kab. Tabanan,BALI,Bali,2,12,8,4,,2,2,2,2,1
65,Kuesioner 65,PEKANDELAN,SANGKETAN,Penebel,Kab. Tabanan,BALI,Bali,4,12,2,4,,2,4,JOKOWI & MA'ARUF AMIN,PDIP,1
66,Kuesioner 66,PEKANDELAN,SANGKETAN,Penebel,Kab. Tabanan,BALI,Bali,2,12,2,4,,2,5,JOKOWI & MA'ARUF AMIN,2,1
67,Kuesioner 67,BUN,SANGKETAN,Penebel,Kab. Tabanan,BALI,Bali,4,PETANI DAN WIRASWASTA,3,4,,2,4,JOKOWI DAN MA'ARUF AMIN,PDI PERJUANGAN,1
68,Kuesioner 68,BUN,SANGKETAN,Penebel,Kab. Tabanan,BALI,Bali,2,1,1,4,,2,5,2,2,1
69,Kuesioner 69,BONGLI,SANGKETAN,Penebel,Kab. Tabanan,BALI,Bali,2,12,1,4,,2,4,JOKOWI & MA'ARUF AMIN,2,1
70,Kuesioner 70,BONGLI,SANGKETAN,Penebel,Kab. Tabanan,BALI,Bali,3,12,2,4,,2,3,JOKOWI & MA'ARUF AMIN,PDIP,1
71,Kuesioner 71,mekar rahayu,mekar rahayu,Bojongmanik,Kab. Lebak,BANTEN I,Banten,3,9,5,1,13,16,4,jokowi,pdip,1
72,Kuesioner 72,poleng ,mekar Rahayu,Bojongmanik,Kab. Lebak,BANTEN I,Banten,3,3,3,1,13,16,1,prabowo,Gerindra,1
73,Kuesioner 73,poleng mekar Rahayu,mekar,Bojongmanik,Kab. Lebak,BANTEN I,Banten,2,9,3,1,13,16,4,Jokowi amin,PDIP,1
74,Kuesioner 74,poleng ,mekar Rahayu,Bojongmanik,Kab. Lebak,BANTEN I,Banten,3,3,3,1,13,10,2,Prabowo Subianto dan sandi,Gerindra,1
75,Kuesioner 75,poleng,mekar Rahayu ,Bojongmanik,Kab. Lebak,BANTEN I,Banten,4,12,2,1,13,16,2,Prabowo sandi ,tt,1
76,Kuesioner 76,mekar rahayu,mekar rahyu,Bojongmanik,Kab. Lebak,BANTEN I,Banten,2,ibu rumah tangga,2,1,14,19,2,prabowo,Gerindra,1
77,Kuesioner 77,poleng,mekar rahayu,Bojongmanik,Kab. Lebak,BANTEN I,Banten,2,12,3,1,14,16,3,Prabowo Subianto dan sandi,Gerindra,1
78,Kuesioner 78,mekar rahayu,mekar rahayu,Bojongmanik,Kab. Lebak,BANTEN I,Banten,3,3,3,1,13,16,1,prabowo,Gerindra,2
79,Kuesioner 79,kp.pelong,mekar rahayu,Bojongmanik,Kab. Lebak,BANTEN I,Banten,2,1,3,1,14,16,3,prabowo,gerinda,1
80,Kuesioner 80,mekar rahayu,mekar rahayu,Bojongmanik,Kab. Lebak,BANTEN I,Banten,2,3,2,1,14,16,3,prabowo,Gerindra,2
81,Kuesioner 81,Cilawang,Sekarwangi,Curug Bitung,Kab. Lebak,BANTEN I,Banten,2,1,3,1,13,4,3,Prabowo-Sandiaga,Gerindra,2
82,Kuesioner 82,kampung Legok,Sekarwangi,Curug Bitung,Kab. Lebak,BANTEN I,Banten,2,6,2,1,9,4,2,PRABOWO-SANDI,PKS,2
83,Kuesioner 83,Kampung Legok,Sekarwangi,Curug Bitung,Kab. Lebak,BANTEN I,Banten,4,12,2,1,9,4,4,JOKOWI-MAKRUF AMIN,PPP,1
84,Kuesioner 84,Legok,Sekarwangi,Curug Bitung,Kab. Lebak,BANTEN I,Banten,2,Buruh Tani,2,1,9,4,3,PRABOWO-SANDI,GERINDRA,2
85,Kuesioner 85,lewi dulang,Sekarwangi,Curug Bitung,Kab. Lebak,BANTEN I,Banten,2,15,2,1,9,4,2,PRABOWO-SANDI,PKS,2
86,Kuesioner 86,Luidulang,Sekarwangi,Curug Bitung,Kab. Lebak,BANTEN I,Banten,2,15,2,1,9,4,5,PRABOWO-SANDI,PKS,2
87,Kuesioner 87,Luwidulang,Sekarwangi,Curug Bitung,Kab. Lebak,BANTEN I,Banten,4,1,4,1,9,4,1,Jokowi-Makruf Amin,GOLKAR,1
88,Kuesioner 88,Luidulang,Sekarwangi,Curug Bitung,Kab. Lebak,BANTEN I,Banten,4,3,4,1,9,4,2,JOKOWI-MAKRUF AMIN,PKB,1
89,Kuesioner 89,Cilawang,Sekarwangi,Curug Bitung,Kab. Lebak,BANTEN I,Banten,2,12,3,1,9,4,4,PRABOWO-SANDI,GERINDRA,2
90,Kuesioner 90,Leuwidulang,Sekarwangi,Curug Bitung,Kab. Lebak,BANTEN I,Banten,4,2,4,1,9,4,2,PRABOWO-SANDI,GERINDRA,2
91,Kuesioner 91,kota baru . nunung bakri,kota mau,Serang,Kota Serang,BANTEN II,Banten,1,4,4,Islam . pekerjaan buruh bukan mahasiswa ,,10,5,Jokowi dan Amin,PPP,1
92,Kuesioner 92,g. Zulkifli,kota baru ,Serang,Kota Serang,BANTEN II,Banten,2,2,5,1,14,4,5,rahasia,2,2
93,Kuesioner 93,kota baru Nunung Bakri,kota baru,Serang,Kota Serang,BANTEN II,Banten,5,perawat,4,1,13,16,3,2,netral,2
94,Kuesioner 94,kota baru,kota baru,Serang,Kota Serang,BANTEN II,Banten,3,3,2,1,13,4,3,Jokowi dan Amin,nasdem,1
95,Kuesioner 95,gang Ali Rahman 2 ,kota baru,Serang,Kota Serang,BANTEN II,Banten,1,seni lukis,2,1,13,16,4,Prabowo dan sandi ,Golkar,2
96,Kuesioner 96,kota baru g. ali rahman,kota baru,Serang,Kota Serang,BANTEN II,Banten,3,3,3,1,13,10,4,Jokowi dan Amin,2,1
97,Kuesioner 97,kota baru g mosolla,kota baru,Serang,Kota Serang,BANTEN II,Banten,3,ustadz,4,1,9,10,4,2,pan,1
98,Kuesioner 98,kota baru g. kelinci,kota baru,Serang,Kota Serang,BANTEN II,Banten,4,6,6,1,13,10,3,2,garindra,1
99,Kuesioner 99,jln Maulana Hasanuddin G. beok,kota baru,Serang,Kota Serang,BANTEN II,Banten,4,9,4,1,9,4,2,2,2,2
100,Kuesioner 100,lingkungan calong,kota baru ,Serang,Kota Serang,BANTEN II,Banten,3,3,1,1,13,4,2,rahasia,2,2
101,Kuesioner 101,kampung ,pasuluhan,Walantaka,Kota Serang,BANTEN II,Banten,4,nyari kerja,8,1,13,4,1,prabowo dan sandi,pks,2
102,Kuesioner 102,nangka bugang pasuluhan,pasuluhan,Walantaka,Kota Serang,BANTEN II,Banten,3,3,4,1,13,16,1,tahadia,2,1
103,Kuesioner 103,nangka bugang,pasuluhan (tdk ada hp),Walantaka,Kota Serang,BANTEN II,Banten,1,6,1,1,13,10,5,jokowi amin,2,2
104,Kuesioner 104,kampung bugang,pasuluhan,Walantaka,Kota Serang,BANTEN II,Banten,1,bikin seser,1,1,13,16,4,jokowi,demukrat,1
105,Kuesioner 105,Pasuluhan,Pasuluhan Kecamatan Walantaka,Walantaka,Kota Serang,BANTEN II,Banten,4,Cari Kerja,8,1,Osis Atau Rohis,4,1,PRABOWO SANDI,GOLKAR,2
106,Kuesioner 106,nangka bugang,pasuluhan,Walantaka,Kota Serang,BANTEN II,Banten,2,3,4,1,14,16,2,2,2,1
107,Kuesioner 107,nangka Bugang,pasuluhan. (tdk punya hp ),Walantaka,Kota Serang,BANTEN II,Banten,3,15,5,1,13,16,5,jokowi dan amin,pdip,1
108,Kuesioner 108,nangka bugang,pasuluhan,Walantaka,Kota Serang,BANTEN II,Banten,3,6,4,1,13,16,2,rahsia,parindo,1
109,Kuesioner 109,pasuluhan. walantaka,pasuluhan,Walantaka,Kota Serang,BANTEN II,Banten,3,1,4,1,pendekar banten,10,2,rahasia,demokrat,2
110,Kuesioner 110,nangka bugang,pasuluhan,Walantaka,Kota Serang,BANTEN II,Banten,2,6,1,1,majlis taklim,16,4,2,hanura,2
111,Kuesioner 111,KOTA,PANINGGILAN UTARA ,Ciledug,Kota Serang,BANTEN III,Banten,4,15,5,1,13,6,3,JOKOWI - MARUF AMIN,DEMOKRAT ,1
112,Kuesioner 112,KOTA,PENINGGILAN UTARA,Ciledug,Kota Serang,BANTEN III,Banten,2,3,2,1,13,10,5,JOKOWI - MARUF AMIN,PDIP ,1
113,Kuesioner 113,KOTA,PANINGGILAN UTARA,Ciledug,Kota Serang,BANTEN III,Banten,3,8,6,1,13,10,3,JOKOWI - MARUF AMIN ,PDIP ,1
114,Kuesioner 114,KOTA ,PANINGGILAB UTARA,Ciledug,Kota Serang,BANTEN III,Banten,3,3,5,1,LDII,10,4,PRABOWO - SANDIAGA UNO,GERINDRA ,2
115,Kuesioner 115,paninggalan utara,paninggalan utara,Ciledug,Kota Serang,BANTEN III,Banten,4,15,7,1,13,10,4,jokowidodo-ma'ruf amin,pdip,1
116,Kuesioner 116,KOTA,PANINGGILAN UTARA,Ciledug,Kota Serang,BANTEN III,Banten,2,3,4,1,13,6,5,JOKOWI - MARUF AMIN,GOLKAR,1
117,Kuesioner 117,paninggalan utara,paninggalan utara,Ciledug,Kota Serang,BANTEN III,Banten,4,8,5,1,13,10,5,jokowidodo-ma'ruf amin,pdip,1
118,Kuesioner 118,KOTA ,PANINGGILAN UTARA,Ciledug,Kota Serang,BANTEN III,Banten,4,3,5,1,13,10,4,PRABOWO - SANDIAGA UNO ,GERINDRA ,2
119,Kuesioner 119,KOTA,PANINGGILAN UTARA ,Ciledug,Kota Serang,BANTEN III,Banten,3,15,5,1,13,10,5,JOKOWI - MARUF AMIN,PDIP,1
120,Kuesioner 120,paninggalan utara,paninggalan utara,Ciledug,Kota Serang,BANTEN III,Banten,3,3,4,1,13,10,4,2,pan,2
121,Kuesioner 121,Kp. Kayu gede,Pakujaya,Serpong Utara,Kota Tangerang Selatan,BANTEN III,Banten,4,14,8,1,13,6,1,2,2,2
122,Kuesioner 122,-,pakujaya,Serpong Utara,Kota Tangerang Selatan,BANTEN III,Banten,3,3,3,1,13,6,3,2,2,2
123,Kuesioner 123,-,pakujaya,Serpong Utara,Kota Tangerang Selatan,BANTEN III,Banten,1,serabutan,2,1,13,6,3,2,2,3
124,Kuesioner 124,-,pakujaya,Serpong Utara,Kota Tangerang Selatan,BANTEN III,Banten,4,3,1,1,13,6,3,2,2,3
125,Kuesioner 125,Kp. Kayu Gede,Pakujaya,Serpong Utara,Kota Tangerang Selatan,BANTEN III,Banten,4,8,4,1,13,6,3,2,2,2
126,Kuesioner 126,Kp. Kayu Gede,Pakujaya,Serpong Utara,Kota Tangerang Selatan,BANTEN III,Banten,5,15,5,1,13,6,3,2,2,2
127,Kuesioner 127,Kp. Kayu gede,Pakujaya,Serpong Utara,Kota Tangerang Selatan,BANTEN III,Banten,4,11,2,1,9,6,5,2,PDIP,2
128,Kuesioner 128,Kp. Katu Gede,Pakujaya,Serpong Utara,Kota Tangerang Selatan,BANTEN III,Banten,3,3,1,1,13,10,2,2,2,1
129,Kuesioner 129,Kp. Buaran,Pakujaya,Serpong Utara,Kota Tangerang Selatan,BANTEN III,Banten,3,17,8,1,9,4,5,2,2,2
130,Kuesioner 130,Kp. Buaran,Pakujaya,Serpong Utara,Kota Tangerang Selatan,BANTEN III,Banten,3,3,8,1,9,4,5,2,2,2
131,Kuesioner 131,tobat,sentul jaya,Balaraja,Kab. Tangerang,BANTEN III,Banten,4,8,5,1,8,16,2,prabowo dan sandi,demokrat,2
132,Kuesioner 132,tobat,sentul jaya,Balaraja,Kab. Tangerang,BANTEN III,Banten,4,3,5,1,9,16,3,prabowo dan sandi,gwrindra,2
133,Kuesioner 133,pos sentul,sentul jaya,Balaraja,Kab. Tangerang,BANTEN III,Banten,4,14,4,1,13,10,3,prabowo dan sandi,pks,2
134,Kuesioner 134,pos sentul,sentul jaya,Balaraja,Kab. Tangerang,BANTEN III,Banten,4,3,5,1,13,16,3,prabowo dan sandi,golkar,2
135,Kuesioner 135,pos sentul,sentul jaya,Balaraja,Kab. Tangerang,BANTEN III,Banten,6,15,5,2,,5,3,jokowi & amin,PDI P,1
136,Kuesioner 136,pos sentul,sentul jaya,Balaraja,Kab. Tangerang,BANTEN III,Banten,3,3,5,1,9,16,4,Prabowo & Sandi,Golkar,2
137,Kuesioner 137,joha,sentul jaya,Balaraja,Kab. Tangerang,BANTEN III,Banten,4,8,5,1,9,16,4,prabowo & sandi,gerindra,2
138,Kuesioner 138,sentul jaya,sentul jaya,Balaraja,Kab. Tangerang,BANTEN III,Banten,4,8,5,1,13,8,4,jokowi & golkar,golkar,1
139,Kuesioner 139,tobay,sentul jaya,Balaraja,Kab. Tangerang,BANTEN III,Banten,4,8,5,1,9,16,3,jokowi & Maruf,PPP,1
140,Kuesioner 140,tobat,sentul jaya,Balaraja,Kab. Tangerang,BANTEN III,Banten,4,3,5,1,13,16,3,prabowo & sandi,demoktat,2
141,Kuesioner 141,Kp. Cijantra ,jakate,Pagedangan,Kab. Tangerang,BANTEN III,Banten,3,10,5,1,14,4,1,2,2,2
142,Kuesioner 142,Kec.pagedangan ,Kel. Jatake ,Pagedangan,Kab. Tangerang,BANTEN III,Banten,3,6,4,1,13,16,3,2,2,2
143,Kuesioner 143,PAGEDANGAN ,Kel. Jatake ,Pagedangan,Kab. Tangerang,BANTEN III,Banten,2,17,8,1,14,4,5,2,2,3
144,Kuesioner 144,PAGEDANGAN ,Kel. Jatake ,Pagedangan,Kab. Tangerang,BANTEN III,Banten,3,3,8,1,14,4,7,2,2,3
145,Kuesioner 145,Kec. pagedangan ,Kel. Jatake ,Pagedangan,Kab. Tangerang,BANTEN III,Banten,4,10,8,1,14,SEMUANYA ,3,2,2,2
146,Kuesioner 146,Kec.pagedangan ,Kel. Jatake ,Pagedangan,Kab. Tangerang,BANTEN III,Banten,2,3,8,1,14,4,4,2,2,2
147,Kuesioner 147,kecamatan. PAGEDANGAN ,Kel. Jatake ,Pagedangan,Kab. Tangerang,BANTEN III,Banten,4,17,8,1,9,4,5,PRABOWO DAN SANDIAGA UNO,2,2
148,Kuesioner 148,Kec. pagedangan ,Kel. Jatake ,Pagedangan,Kab. Tangerang,BANTEN III,Banten,7,3,8,1,14,4,5,2,2,2
149,Kuesioner 149,Kec. pagedangan ,Kel. Jatake ,Pagedangan,Kab. Tangerang,BANTEN III,Banten,4,8,8,1,14,4,3,PRABOWO DAN SANDIAGA UNO,2,1
150,Kuesioner 150,Kec. pagedangan ,Kel. Jatake ,Pagedangan,Kab. Tangerang,BANTEN III,Banten,2,3,8,1,14,4,5,2,2,2
151,Kuesioner 151,Talang Panjang,Talang Panjang,Ilir Talo,Kab. Seluma,BENGKULU,Bengkulu,3,12,3,1,13,Serawai,2,PRABOWO DAN SANDIAGA,2,2
152,Kuesioner 152,Talang Panjang,Talang Panjang,Ilir Talo,Kab. Seluma,BENGKULU,Bengkulu,2,12,3,1,13,Serawai,3,2,2,1
153,Kuesioner 153,Talang Panjang,Talang Panjang,Ilir Talo,Kab. Seluma,BENGKULU,Bengkulu,3,12,4,1,13,,3,2,2,2
154,Kuesioner 154,Talang Padang,Talang Panjang,Ilir Talo,Kab. Seluma,BENGKULU,Bengkulu,3,12,3,1,8,Serawai,4,JOKOWI DAN SANDIAGA UNO,PAN,2
155,Kuesioner 155,Talang Panjang,Talang Panjang,Ilir Talo,Kab. Seluma,BENGKULU,Bengkulu,3,12,3,1,8,Serawai,4,Jokowi,PAN,2
156,Kuesioner 156,Talang Panjang,Talang Panjang,Ilir Talo,Kab. Seluma,BENGKULU,Bengkulu,3,3,3,1,13,Serawai,3,2,2,2
157,Kuesioner 157,Talang panjang,Talang panjang,Ilir Talo,Kab. Seluma,BENGKULU,Bengkulu,3,12,5,1,13,Serawai,3,PRABOWO dan SANDIAGA UNO,2,2
158,Kuesioner 158,Talang Panjang,Talang Panjang Kec Ilir Talo Seluma,Ilir Talo,Kab. Seluma,BENGKULU,Bengkulu,4,3,3,1,13,Serawai,1,PRABOWO DAN SANDIAGA,2,2
